challenge_id,phase_1_status,phase_1_completed_at,phase_2_status,phase_2_completed_at,funded_at,failed_reason,days_to_fail_or_pass
CH000428,passed,2025-03-28,passed,2025-04-07,2025-04-10,,19
CH000429,failed,2025-03-25,not_reached,,,inactivity,16
CH000430,failed,2025-03-29,not_reached,,,daily_loss_limit,7
CH000431,failed,2025-03-30,not_reached,,,inactivity,13
CH000432,passed,2025-03-28,passed,2025-04-03,2025-04-06,,15
CH000433,failed,2025-03-11,not_reached,,,inactivity,10
CH000434,failed,2025-03-29,not_reached,,,inactivity,14
CH000435,failed,2025-04-01,not_reached,,,max_drawdown,14
CH000436,failed,2025-04-22,not_reached,,,max_drawdown,15
CH000437,failed,2025-03-19,not_reached,,,consistency_rule,9
CH000438,failed,2025-03-26,not_reached,,,inactivity,12
CH000439,failed,2025-03-17,not_reached,,,max_drawdown,5
CH000440,passed,2025-04-07,failed,2025-04-19,,consistency_rule,26
CH000441,passed,2025-03-25,passed,2025-03-31,2025-04-02,,12
CH000442,failed,2025-03-31,not_reached,,,inactivity,13
CH000443,failed,2025-04-19,not_reached,,,inactivity,14
CH000444,passed,2025-05-19,failed,2025-05-28,,inactivity,14
CH000445,failed,2025-03-25,not_reached,,,daily_loss_limit,16
CH000446,failed,2025-03-30,not_reached,,,max_drawdown,17
CH000447,passed,2025-04-04,passed,2025-04-14,2025-04-17,,19
CH000448,passed,2025-03-22,passed,2025-03-26,2025-03-29,,9
CH000449,failed,2025-03-24,not_reached,,,inactivity,12
CH000450,passed,2025-04-05,failed,2025-04-16,,daily_loss_limit,27
CH000451,passed,2025-03-18,passed,2025-03-24,2025-03-27,,9
CH000452,passed,2025-03-30,failed,2025-04-08,,consistency_rule,22
CH000453,passed,2025-03-31,passed,2025-04-11,2025-04-13,,30
CH000454,failed,2025-03-27,not_reached,,,consistency_rule,9
CH000455,failed,2025-04-04,not_reached,,,rule_violation,15
CH000456,passed,2025-03-29,passed,2025-04-08,2025-04-10,,16
CH000457,failed,2025-04-06,not_reached,,,max_drawdown,13
CH000458,passed,2025-04-22,passed,2025-04-26,2025-04-28,,8
CH000459,failed,2025-04-09,not_reached,,,daily_loss_limit,15
CH000460,failed,2025-04-03,not_reached,,,daily_loss_limit,7
CH000461,passed,2025-04-05,passed,2025-04-12,2025-04-15,,18
CH000462,failed,2025-03-23,not_reached,,,max_drawdown,17
CH000463,failed,2025-04-01,not_reached,,,max_drawdown,20
CH000464,failed,2025-04-03,not_reached,,,consistency_rule,19
CH000465,failed,2025-03-26,not_reached,,,daily_loss_limit,6
CH000466,failed,2025-03-31,not_reached,,,consistency_rule,11
CH000467,failed,2025-04-15,not_reached,,,inactivity,16
CH000468,failed,2025-03-25,not_reached,,,rule_violation,5
CH000469,failed,2025-04-21,not_reached,,,consistency_rule,8
CH000470,passed,2025-03-31,failed,2025-04-11,,inactivity,25
CH000471,passed,2025-04-01,passed,2025-04-09,2025-04-11,,16
CH000472,passed,2025-04-06,failed,2025-04-17,,consistency_rule,20
CH000473,failed,2025-03-23,not_reached,,,daily_loss_limit,7
CH000474,failed,2025-05-07,not_reached,,,max_drawdown,18
CH000475,failed,2025-05-27,not_reached,,,daily_loss_limit,15
CH000476,failed,2025-04-06,not_reached,,,daily_loss_limit,15
CH000477,failed,2025-04-11,not_reached,,,max_drawdown,10
CH000478,passed,2025-03-27,failed,2025-04-10,,inactivity,29
CH000479,passed,2025-04-20,failed,2025-05-07,,max_drawdown,39
CH000480,failed,2025-04-10,not_reached,,,max_drawdown,15
CH000481,passed,2025-05-08,failed,2025-05-21,,max_drawdown,33
CH000482,passed,2025-04-13,passed,2025-04-27,2025-04-29,,25
CH000483,passed,2025-04-04,passed,2025-04-12,2025-04-15,,15
CH000484,failed,2025-04-04,not_reached,,,inactivity,17
CH000485,passed,2025-03-24,passed,2025-04-01,2025-04-03,,17
CH000486,passed,2025-04-01,failed,2025-04-09,,daily_loss_limit,11
CH000487,passed,2025-03-30,failed,2025-04-07,,inactivity,20
CH000488,failed,2025-03-21,not_reached,,,inactivity,10
CH000489,failed,2025-03-31,not_reached,,,max_drawdown,15
CH000490,passed,2025-03-30,passed,2025-04-13,2025-04-16,,23
CH000491,failed,2025-04-06,not_reached,,,inactivity,21
CH000492,failed,2025-03-30,not_reached,,,inactivity,3
CH000493,passed,2025-04-24,passed,2025-04-30,2025-05-02,,26
CH000494,failed,2025-04-13,not_reached,,,rule_violation,11
CH000495,passed,2025-04-18,passed,2025-04-26,2025-04-27,,21
CH000496,passed,2025-04-08,failed,2025-04-14,,daily_loss_limit,18
CH000497,failed,2025-04-07,not_reached,,,consistency_rule,15
CH000498,passed,2025-04-10,failed,2025-04-21,,consistency_rule,27
CH000499,passed,2025-03-27,passed,2025-04-09,2025-04-11,,19
CH000500,failed,2025-04-15,not_reached,,,max_drawdown,15
CH000501,failed,2025-03-30,not_reached,,,rule_violation,9
CH000502,failed,2025-04-01,not_reached,,,inactivity,14
CH000503,passed,2025-03-30,passed,2025-04-12,2025-04-13,,23
CH000504,failed,2025-03-28,not_reached,,,inactivity,4
CH000505,failed,2025-04-09,not_reached,,,max_drawdown,11
CH000506,passed,2025-04-14,passed,2025-04-28,2025-05-01,,33
CH000507,passed,2025-04-14,passed,2025-05-01,2025-05-04,,42
CH000508,failed,2025-04-15,not_reached,,,daily_loss_limit,17
CH000509,failed,2025-04-03,not_reached,,,max_drawdown,18
CH000510,passed,2025-04-18,failed,2025-04-22,,rule_violation,22
CH000511,failed,2025-04-17,not_reached,,,daily_loss_limit,15
CH000512,failed,2025-04-21,not_reached,,,consistency_rule,18
CH000513,failed,2025-05-22,not_reached,,,rule_violation,13
CH000514,failed,2025-04-11,not_reached,,,daily_loss_limit,13
CH000515,failed,2025-04-14,not_reached,,,max_drawdown,13
CH000516,failed,2025-04-06,not_reached,,,max_drawdown,14
CH000517,passed,2025-04-14,passed,2025-04-27,2025-04-28,,23
CH000518,passed,2025-04-09,passed,2025-04-16,2025-04-19,,14
CH000519,failed,2025-04-13,not_reached,,,rule_violation,5
CH000520,passed,2025-05-12,failed,2025-05-21,,inactivity,24
CH000521,passed,2025-04-12,passed,2025-04-24,2025-04-26,,24
CH000522,passed,2025-04-15,failed,2025-04-25,,inactivity,21
CH000523,failed,2025-04-16,not_reached,,,max_drawdown,8
CH000524,failed,2025-04-18,not_reached,,,max_drawdown,17
CH000525,failed,2025-05-08,not_reached,,,rule_violation,12
CH000526,failed,2025-04-20,not_reached,,,max_drawdown,17
CH000527,failed,2025-06-03,not_reached,,,consistency_rule,13
CH000528,failed,2025-04-22,not_reached,,,max_drawdown,17
CH000529,failed,2025-04-11,not_reached,,,consistency_rule,8
CH000530,failed,2025-04-14,not_reached,,,inactivity,14
CH000531,failed,2025-05-27,not_reached,,,max_drawdown,12
CH000532,failed,2025-04-17,not_reached,,,daily_loss_limit,11
CH000533,failed,2025-04-19,not_reached,,,rule_violation,12
CH000534,failed,2025-04-04,not_reached,,,max_drawdown,10
CH000535,failed,2025-04-17,not_reached,,,daily_loss_limit,10
CH000536,failed,2025-03-26,not_reached,,,max_drawdown,3
CH000537,failed,2025-04-13,not_reached,,,consistency_rule,8
CH000538,passed,2025-04-26,passed,2025-05-16,2025-05-19,,38
CH000539,failed,2025-03-29,not_reached,,,max_drawdown,9
CH000540,failed,2025-04-13,not_reached,,,max_drawdown,7
CH000541,passed,2025-04-05,passed,2025-04-11,2025-04-13,,18
CH000542,passed,2025-03-30,failed,2025-04-08,,consistency_rule,21
CH000543,failed,2025-05-28,not_reached,,,consistency_rule,27
CH000544,passed,2025-04-06,passed,2025-04-13,2025-04-14,,18
CH000545,failed,2025-04-21,not_reached,,,max_drawdown,20
CH000546,passed,2025-04-14,passed,2025-04-26,2025-04-29,,26
CH000547,failed,2025-04-12,not_reached,,,max_drawdown,6
CH000548,failed,2025-04-16,not_reached,,,rule_violation,16
CH000549,passed,2025-04-12,failed,2025-04-23,,consistency_rule,14
CH000550,failed,2025-04-21,not_reached,,,max_drawdown,9
CH000551,failed,2025-04-02,not_reached,,,rule_violation,9
CH000552,passed,2025-04-23,passed,2025-05-05,2025-05-06,,25
CH000553,failed,2025-04-19,not_reached,,,inactivity,22
CH000554,passed,2025-04-28,passed,2025-05-13,2025-05-15,,36
CH000555,failed,2025-04-14,not_reached,,,inactivity,22
CH000556,passed,2025-04-14,failed,2025-04-18,,max_drawdown,13
CH000557,failed,2025-04-03,not_reached,,,inactivity,8
CH000558,passed,2025-04-25,passed,2025-05-02,2025-05-04,,22
CH000559,failed,2025-04-09,not_reached,,,max_drawdown,10
CH000560,passed,2025-03-31,failed,2025-04-04,,max_drawdown,10
CH000561,failed,2025-04-18,not_reached,,,max_drawdown,11
CH000562,failed,2025-04-17,not_reached,,,max_drawdown,14
CH000563,failed,2025-04-07,not_reached,,,daily_loss_limit,14
CH000564,failed,2025-04-13,not_reached,,,daily_loss_limit,8
CH000565,passed,2025-04-09,failed,2025-04-16,,inactivity,19
CH000566,failed,2025-05-23,not_reached,,,consistency_rule,15
CH000567,passed,2025-04-25,failed,2025-05-09,,max_drawdown,32
CH000568,failed,2025-06-06,not_reached,,,rule_violation,11
CH000569,failed,2025-04-05,not_reached,,,daily_loss_limit,8
CH000570,failed,2025-04-12,not_reached,,,inactivity,17
CH000571,failed,2025-04-23,not_reached,,,max_drawdown,25
CH000572,passed,2025-04-24,failed,2025-05-09,,max_drawdown,31
CH000573,passed,2025-04-12,failed,2025-04-22,,rule_violation,23
CH000574,passed,2025-04-19,passed,2025-04-26,2025-04-27,,26
CH000575,failed,2025-04-22,not_reached,,,consistency_rule,8
CH000576,passed,2025-06-08,failed,2025-06-15,,max_drawdown,25
CH000577,failed,2025-04-12,not_reached,,,max_drawdown,7
CH000578,failed,2025-05-10,not_reached,,,max_drawdown,12
CH000579,failed,2025-04-21,not_reached,,,daily_loss_limit,15
CH000580,failed,2025-04-26,not_reached,,,inactivity,18
CH000581,passed,2025-05-18,failed,2025-05-22,,consistency_rule,17
CH000582,passed,2025-07-12,passed,2025-07-28,2025-07-29,,42
CH000583,failed,2025-04-12,not_reached,,,max_drawdown,20
CH000584,failed,2025-05-12,not_reached,,,max_drawdown,14
CH000585,passed,2025-04-10,failed,2025-04-25,,rule_violation,26
CH000586,failed,2025-04-25,not_reached,,,consistency_rule,13
CH000587,failed,2025-04-23,not_reached,,,inactivity,15
CH000588,failed,2025-05-21,not_reached,,,max_drawdown,13
CH000589,failed,2025-04-29,not_reached,,,rule_violation,16
CH000590,failed,2025-04-05,not_reached,,,max_drawdown,8
CH000591,failed,2025-04-19,not_reached,,,inactivity,7
CH000592,failed,2025-05-11,not_reached,,,max_drawdown,4
CH000593,failed,2025-04-16,not_reached,,,rule_violation,12
CH000594,failed,2025-04-14,not_reached,,,max_drawdown,8
CH000595,failed,2025-05-20,not_reached,,,consistency_rule,10
CH000596,passed,2025-04-05,passed,2025-04-17,2025-04-20,,20
CH000597,failed,2025-04-20,not_reached,,,max_drawdown,11
CH000598,passed,2025-04-18,passed,2025-04-22,2025-04-23,,11
CH000599,passed,2025-04-20,failed,2025-04-27,,consistency_rule,17
CH000600,passed,2025-05-22,passed,2025-06-03,2025-06-05,,20
CH000601,failed,2025-04-01,not_reached,,,daily_loss_limit,8
CH000602,failed,2025-05-03,not_reached,,,inactivity,11
CH000603,failed,2025-04-21,not_reached,,,max_drawdown,13
CH000604,failed,2025-06-03,not_reached,,,inactivity,12
CH000605,passed,2025-04-13,passed,2025-04-25,2025-04-26,,22
CH000606,passed,2025-04-08,failed,2025-04-21,,consistency_rule,24
CH000607,passed,2025-04-29,failed,2025-05-05,,max_drawdown,14
CH000608,passed,2025-04-24,failed,2025-05-05,,max_drawdown,21
CH000609,failed,2025-04-28,not_reached,,,consistency_rule,21
CH000610,passed,2025-04-17,failed,2025-04-29,,max_drawdown,24
CH000611,passed,2025-05-26,failed,2025-06-05,,max_drawdown,28
CH000612,failed,2025-05-04,not_reached,,,consistency_rule,17
CH000613,passed,2025-06-11,failed,2025-06-17,,inactivity,19
CH000614,failed,2025-07-22,not_reached,,,inactivity,10
CH000615,passed,2025-04-17,failed,2025-04-25,,daily_loss_limit,14
CH000616,failed,2025-05-20,not_reached,,,max_drawdown,14
CH000617,failed,2025-06-30,not_reached,,,consistency_rule,17
CH000618,failed,2025-04-26,not_reached,,,inactivity,15
CH000619,failed,2025-04-30,not_reached,,,max_drawdown,14
CH000620,passed,2025-04-26,passed,2025-05-04,2025-05-07,,19
CH000621,failed,2025-04-10,not_reached,,,max_drawdown,10
CH000622,passed,2025-05-05,failed,2025-05-14,,consistency_rule,27
CH000623,failed,2025-06-11,not_reached,,,max_drawdown,17
CH000624,passed,2025-04-19,passed,2025-04-25,2025-04-28,,16
CH000625,passed,2025-04-25,failed,2025-05-06,,daily_loss_limit,26
CH000626,passed,2025-04-23,failed,2025-04-29,,inactivity,10
CH000627,failed,2025-04-28,not_reached,,,daily_loss_limit,16
CH000628,failed,2025-04-07,not_reached,,,consistency_rule,4
CH000629,failed,2025-05-12,not_reached,,,inactivity,8
CH000630,failed,2025-05-29,not_reached,,,inactivity,12
CH000631,failed,2025-04-20,not_reached,,,consistency_rule,7
CH000632,failed,2025-05-17,not_reached,,,max_drawdown,6
CH000633,failed,2025-05-09,not_reached,,,max_drawdown,19
CH000634,passed,2025-04-13,passed,2025-04-19,2025-04-22,,16
CH000635,failed,2025-05-14,not_reached,,,max_drawdown,23
CH000636,passed,2025-04-28,failed,2025-05-07,,inactivity,22
CH000637,failed,2025-04-21,not_reached,,,daily_loss_limit,8
CH000638,passed,2025-04-22,failed,2025-04-26,,consistency_rule,14
CH000639,failed,2025-05-19,not_reached,,,daily_loss_limit,10
CH000640,failed,2025-04-29,not_reached,,,daily_loss_limit,9
CH000641,failed,2025-05-30,not_reached,,,daily_loss_limit,13
CH000642,failed,2025-04-28,not_reached,,,rule_violation,15
CH000643,failed,2025-04-18,not_reached,,,rule_violation,11
CH000644,failed,2025-04-27,not_reached,,,consistency_rule,15
CH000645,passed,2025-04-23,passed,2025-05-06,2025-05-08,,33
CH000646,passed,2025-05-04,failed,2025-05-11,,consistency_rule,28
CH000647,failed,2025-04-10,not_reached,,,consistency_rule,10
CH000648,passed,2025-04-11,failed,2025-04-18,,max_drawdown,12
CH000649,failed,2025-04-20,not_reached,,,inactivity,6
CH000650,failed,2025-05-26,not_reached,,,inactivity,11
CH000651,failed,2025-06-17,not_reached,,,consistency_rule,13
CH000652,failed,2025-05-04,not_reached,,,max_drawdown,19
CH000653,passed,2025-05-08,passed,2025-05-21,2025-05-22,,32
CH000654,failed,2025-05-14,not_reached,,,inactivity,17
CH000655,failed,2025-04-29,not_reached,,,rule_violation,17
CH000656,passed,2025-04-21,failed,2025-05-02,,inactivity,15
CH000657,failed,2025-04-25,not_reached,,,max_drawdown,24
CH000658,failed,2025-06-01,not_reached,,,max_drawdown,21
CH000659,passed,2025-04-24,failed,2025-05-07,,rule_violation,25
CH000660,failed,2025-05-10,not_reached,,,rule_violation,25
CH000661,passed,2025-04-26,failed,2025-05-07,,inactivity,26
CH000662,failed,2025-04-28,not_reached,,,max_drawdown,12
CH000663,passed,2025-05-16,passed,2025-05-22,2025-05-24,,12
CH000664,passed,2025-05-06,passed,2025-05-18,2025-05-20,,34
CH000665,failed,2025-05-03,not_reached,,,daily_loss_limit,10
CH000666,failed,2025-05-09,not_reached,,,max_drawdown,19
CH000667,passed,2025-05-04,failed,2025-05-15,,inactivity,22
CH000668,passed,2025-05-03,failed,2025-05-20,,daily_loss_limit,39
CH000669,failed,2025-04-18,not_reached,,,max_drawdown,15
CH000670,failed,2025-04-18,not_reached,,,inactivity,9
CH000671,failed,2025-04-12,not_reached,,,max_drawdown,9
CH000672,passed,2025-05-03,failed,2025-05-19,,inactivity,25
CH000673,failed,2025-05-01,not_reached,,,daily_loss_limit,15
CH000674,failed,2025-04-28,not_reached,,,consistency_rule,17
CH000675,passed,2025-04-22,passed,2025-04-26,2025-04-28,,15
CH000676,failed,2025-04-13,not_reached,,,max_drawdown,5
CH000677,passed,2025-04-29,failed,2025-05-07,,daily_loss_limit,13
CH000678,passed,2025-06-13,passed,2025-06-18,2025-06-20,,12
CH000679,failed,2025-05-01,not_reached,,,inactivity,11
CH000680,failed,2025-04-26,not_reached,,,daily_loss_limit,4
CH000681,failed,2025-04-23,not_reached,,,max_drawdown,13
CH000682,failed,2025-05-16,not_reached,,,inactivity,12
CH000683,passed,2025-04-26,passed,2025-05-05,2025-05-06,,18
CH000684,failed,2025-04-26,not_reached,,,max_drawdown,7
CH000685,passed,2025-06-07,passed,2025-06-24,2025-06-25,,37
CH000686,failed,2025-05-04,not_reached,,,daily_loss_limit,10
CH000687,passed,2025-04-30,failed,2025-05-12,,inactivity,20
CH000688,failed,2025-04-25,not_reached,,,daily_loss_limit,6
CH000689,passed,2025-04-18,failed,2025-04-29,,inactivity,20
CH000690,passed,2025-05-29,passed,2025-06-16,2025-06-18,,28
CH000691,passed,2025-04-17,failed,2025-04-26,,daily_loss_limit,18
CH000692,failed,2025-05-02,not_reached,,,daily_loss_limit,20
CH000693,failed,2025-04-21,not_reached,,,daily_loss_limit,3
CH000694,passed,2025-05-17,failed,2025-05-24,,daily_loss_limit,22
CH000695,passed,2025-05-04,passed,2025-05-18,2025-05-20,,30
CH000696,passed,2025-04-23,passed,2025-04-30,2025-05-01,,17
CH000697,passed,2025-04-27,failed,2025-05-03,,consistency_rule,12
CH000698,failed,2025-05-06,not_reached,,,consistency_rule,17
CH000699,passed,2025-05-11,passed,2025-05-23,2025-05-26,,26
CH000700,passed,2025-04-28,failed,2025-05-07,,daily_loss_limit,25
CH000701,failed,2025-05-13,not_reached,,,daily_loss_limit,14
CH000702,passed,2025-05-12,failed,2025-05-18,,max_drawdown,19
CH000703,failed,2025-06-30,not_reached,,,daily_loss_limit,22
CH000704,failed,2025-04-29,not_reached,,,daily_loss_limit,6
CH000705,passed,2025-05-08,failed,2025-05-19,,rule_violation,19
CH000706,failed,2025-05-03,not_reached,,,daily_loss_limit,19
CH000707,failed,2025-04-23,not_reached,,,consistency_rule,6
CH000708,passed,2025-05-06,failed,2025-05-18,,consistency_rule,25
CH000709,passed,2025-05-04,passed,2025-05-15,2025-05-17,,31
CH000710,passed,2025-04-23,passed,2025-04-28,2025-05-01,,8
CH000711,failed,2025-04-18,not_reached,,,rule_violation,7
CH000712,failed,2025-05-06,not_reached,,,inactivity,12
CH000713,passed,2025-05-10,failed,2025-05-22,,daily_loss_limit,22
CH000714,failed,2025-05-25,not_reached,,,rule_violation,23
CH000715,passed,2025-05-05,passed,2025-05-18,2025-05-21,,31
CH000716,failed,2025-05-08,not_reached,,,daily_loss_limit,13
CH000717,passed,2025-05-06,failed,2025-05-18,,max_drawdown,29
CH000718,failed,2025-05-20,not_reached,,,consistency_rule,19
CH000719,failed,2025-05-01,not_reached,,,daily_loss_limit,12
CH000720,passed,2025-05-06,passed,2025-05-21,2025-05-23,,25
CH000721,passed,2025-05-05,failed,2025-05-13,,daily_loss_limit,22
CH000722,passed,2025-05-11,passed,2025-05-17,2025-05-18,,13
CH000723,failed,2025-05-03,not_reached,,,max_drawdown,10
CH000724,passed,2025-04-25,failed,2025-04-29,,inactivity,13
CH000725,failed,2025-04-27,not_reached,,,max_drawdown,16
CH000726,passed,2025-05-03,passed,2025-05-12,2025-05-15,,23
CH000727,failed,2025-05-07,not_reached,,,consistency_rule,10
CH000728,passed,2025-05-12,passed,2025-05-21,2025-05-22,,26
CH000729,passed,2025-08-19,failed,2025-09-07,,rule_violation,35
CH000730,failed,2025-05-04,not_reached,,,max_drawdown,10
CH000731,failed,2025-05-16,not_reached,,,max_drawdown,16
CH000732,failed,2025-04-25,not_reached,,,consistency_rule,6
CH000733,failed,2025-04-29,not_reached,,,rule_violation,13
CH000734,failed,2025-05-11,not_reached,,,max_drawdown,17
CH000735,passed,2025-05-02,passed,2025-05-11,2025-05-12,,19
CH000736,failed,2025-05-07,not_reached,,,max_drawdown,14
CH000737,failed,2025-04-27,not_reached,,,daily_loss_limit,10
CH000738,failed,2025-05-23,not_reached,,,consistency_rule,6
CH000739,failed,2025-05-01,not_reached,,,inactivity,9
CH000740,failed,2025-04-30,not_reached,,,max_drawdown,12
CH000741,passed,2025-06-20,passed,2025-07-13,2025-07-15,,44
CH000742,failed,2025-08-26,not_reached,,,max_drawdown,17
CH000743,failed,2025-05-06,not_reached,,,max_drawdown,14
CH000744,passed,2025-05-13,passed,2025-05-22,2025-05-23,,22
CH000745,failed,2025-04-30,not_reached,,,consistency_rule,10
CH000746,failed,2025-05-06,not_reached,,,daily_loss_limit,12
CH000747,failed,2025-05-26,not_reached,,,inactivity,11
CH000748,failed,2025-05-25,not_reached,,,rule_violation,17
CH000749,passed,2025-04-30,failed,2025-05-08,,max_drawdown,21
CH000750,failed,2025-06-19,not_reached,,,consistency_rule,18
CH000751,passed,2025-04-29,failed,2025-05-08,,consistency_rule,18
CH000752,failed,2025-05-05,not_reached,,,daily_loss_limit,10
CH000753,failed,2025-05-09,not_reached,,,daily_loss_limit,13
CH000754,passed,2025-05-14,passed,2025-05-26,2025-05-28,,22
CH000755,passed,2025-04-25,failed,2025-04-29,,inactivity,13
CH000756,failed,2025-05-05,not_reached,,,inactivity,14
CH000757,passed,2025-05-18,passed,2025-06-10,2025-06-11,,35
CH000758,failed,2025-05-10,not_reached,,,daily_loss_limit,13
CH000759,passed,2025-05-16,passed,2025-06-03,2025-06-05,,33
CH000760,passed,2025-05-15,failed,2025-05-25,,consistency_rule,20
CH000761,failed,2025-05-01,not_reached,,,rule_violation,6
CH000762,passed,2025-05-06,failed,2025-05-19,,consistency_rule,27
CH000763,failed,2025-05-03,not_reached,,,max_drawdown,13
CH000764,failed,2025-05-17,not_reached,,,consistency_rule,11
CH000765,passed,2025-05-08,failed,2025-05-18,,daily_loss_limit,15
CH000766,failed,2025-05-06,not_reached,,,daily_loss_limit,11
CH000767,failed,2025-06-11,not_reached,,,max_drawdown,14
CH000768,failed,2025-05-12,not_reached,,,inactivity,19
CH000769,failed,2025-05-09,not_reached,,,consistency_rule,13
CH000770,failed,2025-05-09,not_reached,,,rule_violation,15
CH000771,passed,2025-05-20,passed,2025-05-29,2025-05-30,,21
CH000772,failed,2025-05-12,not_reached,,,consistency_rule,5
CH000773,failed,2025-05-04,not_reached,,,consistency_rule,10
CH000774,failed,2025-05-04,not_reached,,,max_drawdown,11
CH000775,failed,2025-06-01,not_reached,,,inactivity,12
CH000776,passed,2025-05-14,passed,2025-05-28,2025-05-31,,26
CH000777,failed,2025-04-27,not_reached,,,max_drawdown,3
CH000778,passed,2025-05-29,failed,2025-06-08,,inactivity,24
CH000779,failed,2025-05-21,not_reached,,,rule_violation,18
CH000780,failed,2025-05-25,not_reached,,,inactivity,20
CH000781,passed,2025-05-10,passed,2025-05-14,2025-05-17,,13
CH000782,failed,2025-06-02,not_reached,,,max_drawdown,18
CH000783,failed,2025-04-30,not_reached,,,daily_loss_limit,5
CH000784,passed,2025-05-17,passed,2025-06-02,2025-06-04,,39
CH000785,passed,2025-05-16,failed,2025-05-25,,inactivity,25
CH000786,failed,2025-05-03,not_reached,,,consistency_rule,7
CH000787,failed,2025-05-23,not_reached,,,max_drawdown,20
CH000788,failed,2025-05-03,not_reached,,,inactivity,11
CH000789,failed,2025-05-24,not_reached,,,daily_loss_limit,7
CH000790,failed,2025-05-13,not_reached,,,max_drawdown,14
CH000791,failed,2025-05-15,not_reached,,,max_drawdown,10
CH000792,passed,2025-06-04,failed,2025-06-22,,daily_loss_limit,24
CH000793,passed,2025-05-22,failed,2025-06-02,,inactivity,27
CH000794,passed,2025-05-20,passed,2025-05-31,2025-06-01,,16
CH000795,passed,2025-05-12,passed,2025-05-20,2025-05-21,,20
CH000796,passed,2025-05-15,passed,2025-05-22,2025-05-23,,10
CH000797,failed,2025-06-02,not_reached,,,rule_violation,11
CH000798,failed,2025-07-07,not_reached,,,inactivity,10
CH000799,passed,2025-05-28,failed,2025-06-15,,max_drawdown,36
CH000800,failed,2025-05-15,not_reached,,,daily_loss_limit,17
CH000801,failed,2025-06-05,not_reached,,,inactivity,11
CH000802,passed,2025-05-30,passed,2025-06-15,2025-06-16,,34
CH000803,passed,2025-05-20,failed,2025-05-29,,consistency_rule,22
CH000804,failed,2025-05-07,not_reached,,,inactivity,9
CH000805,failed,2025-05-14,not_reached,,,inactivity,14
CH000806,failed,2025-05-22,not_reached,,,daily_loss_limit,14
CH000807,passed,2025-07-07,failed,2025-07-16,,rule_violation,24
CH000808,failed,2025-05-09,not_reached,,,max_drawdown,12
CH000809,passed,2025-06-13,passed,2025-06-25,2025-06-28,,38
CH000810,failed,2025-05-14,not_reached,,,daily_loss_limit,12
CH000811,failed,2025-05-20,not_reached,,,rule_violation,10
CH000812,failed,2025-06-02,not_reached,,,consistency_rule,16
CH000813,passed,2025-07-01,passed,2025-07-12,2025-07-13,,27
CH000814,passed,2025-05-31,passed,2025-06-11,2025-06-12,,23
CH000815,passed,2025-05-11,passed,2025-05-15,2025-05-18,,15
CH000816,failed,2025-05-06,not_reached,,,max_drawdown,8
CH000817,failed,2025-06-10,not_reached,,,consistency_rule,15
CH000818,failed,2025-06-01,not_reached,,,max_drawdown,13
CH000819,passed,2025-06-17,passed,2025-06-25,2025-06-26,,18
CH000820,failed,2025-05-24,not_reached,,,daily_loss_limit,10
CH000821,passed,2025-05-22,passed,2025-06-06,2025-06-09,,30
CH000822,passed,2025-05-22,failed,2025-06-03,,max_drawdown,27
CH000823,failed,2025-07-10,not_reached,,,daily_loss_limit,24
CH000824,failed,2025-07-25,not_reached,,,max_drawdown,10
CH000825,failed,2025-05-26,not_reached,,,consistency_rule,20
CH000826,failed,2025-05-27,not_reached,,,daily_loss_limit,22
CH000827,passed,2025-05-23,passed,2025-06-10,2025-06-13,,35
CH000828,failed,2025-05-27,not_reached,,,max_drawdown,15
CH000829,failed,2025-05-08,not_reached,,,max_drawdown,10
CH000830,failed,2025-05-29,not_reached,,,max_drawdown,14
CH000831,failed,2025-05-21,not_reached,,,daily_loss_limit,11
CH000832,failed,2025-05-21,not_reached,,,max_drawdown,11
CH000833,failed,2025-06-19,not_reached,,,daily_loss_limit,11
CH000834,failed,2025-07-21,not_reached,,,inactivity,10
CH000835,passed,2025-05-17,passed,2025-05-24,2025-05-27,,26
CH000836,passed,2025-06-07,passed,2025-06-11,2025-06-13,,19
CH000837,passed,2025-05-14,passed,2025-05-27,2025-05-30,,16
CH000838,failed,2025-05-31,not_reached,,,daily_loss_limit,13
CH000839,failed,2025-06-11,not_reached,,,inactivity,3
CH000840,failed,2025-05-08,not_reached,,,inactivity,4
CH000841,failed,2025-05-27,not_reached,,,consistency_rule,10
CH000842,failed,2025-05-22,not_reached,,,daily_loss_limit,18
CH000843,failed,2025-05-23,not_reached,,,max_drawdown,14
CH000844,failed,2025-06-21,not_reached,,,inactivity,6
CH000845,failed,2025-05-24,not_reached,,,max_drawdown,11
CH000846,failed,2025-07-01,not_reached,,,max_drawdown,14
CH000847,failed,2025-07-21,not_reached,,,rule_violation,14
CH000848,failed,2025-05-29,not_reached,,,daily_loss_limit,14
CH000849,passed,2025-05-29,passed,2025-06-11,2025-06-12,,26
CH000850,passed,2025-06-02,passed,2025-06-12,2025-06-13,,21
CH000851,failed,2025-06-02,not_reached,,,consistency_rule,16
CH000852,failed,2025-05-17,not_reached,,,consistency_rule,13
CH000853,failed,2025-06-09,not_reached,,,daily_loss_limit,12
CH000854,failed,2025-07-11,not_reached,,,consistency_rule,13
CH000855,passed,2025-05-14,failed,2025-05-20,,max_drawdown,11
CH000856,passed,2025-06-13,passed,2025-06-29,2025-07-02,,29
